coffee,perf,accur,numprob
1,53,0.449876732,7
1,9,0.499533863,6
1,31,0.498590267,6
1,38,0.454311863,7
2,40,0.421212023,8
1,40,0.626297796,6
1,9,0.350147152,6
1,37,0.398859894,8
2,62,0.352829266,7
1,23,0.730810428,7
1,31,0.67867527,7
1,35,0.632078695,6
1,48,0.627358925,6
2,48,0.556492352,8
2,51,0.478877912,10
2,29,0.404709792,9
1,30,0.478003509,7
1,38,0.418093312,7
1,55,0.641135383,7
1,24,0.480038723,7
1,58,0.47510028,8
1,78,0.526124689,8
1,5,0.334742105,6
2,38,0.55808177,8
1,19,0.670659649,6
1,40,0.517117275,7
2,35,0.383881235,9
2,51,0.577231801,8
2,68,0.615411282,9
3,73,0.540755269,9
3,63,0.748692417,9
3,58,0.523035862,9
3,44,0.528826964,9
3,45,0.559104532,9
2,42,0.677177095,7
2,20,0.240237737,9
2,13,0.603682792,7
2,64,0.346096516,9
2,27,0.617997658,9
3,56,0.521300183,10
2,76,0.545202437,7
2,33,0.406970328,9
3,58,0.500717901,9
3,31,0.514194928,8
3,34,0.426645821,8
2,42,0.39534514,8
2,48,0.633763814,7
3,77,0.593512684,9
3,89,0.684199989,10
3,26,0.43054893,10
3,51,0.451110807,9
3,48,0.597240925,8
3,64,0.505416542,10
2,34,0.461815158,8
3,39,0.423497874,8
3,53,0.569814485,8
2,20,0.410549104,9
3,18,0.38105104,8
3,38,0.519516632,9
3,35,0.456945455,8
 , , , 
 , , , 
