age,educ,incom,train,quality,counsel,selfcon,counrep
1,1,34.59916475,0,10, ,10,0
1,1,50.56094105,0,14, ,11,0
1,1,25.37589689,1,9,0,12,1
1,1,35.24568594,1,14, ,21,0
1,1,18.7755315,0,15, ,18,0
1,1,90.58064673,0,15,0,15,1
1,1,57.40645646,1,16, ,29,0
1,1,25.80246996,0,17,1,23,1
1,1,44.03246263,1,14,1,21,1
1,1,72.95792025,0,12, ,15,0
1,1,45.00270108,1,15, ,15,0
1,1,62.26238907,1,13, ,14,0
1,1,47.50480164,1,13, ,21,0
1,1,71.40053596,1,15, ,20,0
1,1,53.22840569,0,13, ,9,0
1,1,49.01694579,0,14, ,17,0
1,1,36.2161411,0,12,0,17,1
1,1,30.22778324,1,20,1,23,1
1,1,30.21336556,0,14, ,19,0
1,1,62.43631693,0,11, ,15,0
1,1,50.43444024,0,12,0,11,1
1,1,19.56925536,0,14, ,8,0
1,1,59.53280558,1,20,1,19,1
1,1,40.01075238,0,15,0,14,1
1,1,75.96377576,0,19,0,20,1
1,2,28.86970983,0,14, ,21,0
1,2,45.1752369,0,13,0,18,1
1,2,56.563376,1,16,1,18,1
1,2,80.03070155,0,14,0,14,1
1,2,50.22860394,0,14,0,18,1
1,2,47.20087077,0,12,0,16,1
1,2,29.77702565,1,19,1,24,1
1,2,73.12625803,1,9, ,13,0
1,2,55.54926732,0,13, ,18,0
1,2,62.94717713,1,18, ,23,0
1,2,42.00302675,1,16, ,22,0
1,2,10.65235603,1,16, ,23,0
1,2,54.06584635,0,13,0,15,1
1,2,46.14422479,0,15, ,14,0
1,2,41.44720016,1,19, ,23,0
1,2,60.44868368,0,17, ,13,0
1,2,21.96984137,1,21, ,19,0
1,2,47.88000344,0,18, ,18,0
1,2,67.84962991,0,12, ,17,0
1,3,72.05477552,0,16, ,18,0
1,3,35.04989658,1,16, ,20,0
1,3,36.83968647,1,15, ,16,0
1,3,24.92060981,0,12, ,15,0
1,3,25.03167781,1,13,1,22,1
1,3,68.99773555,1,12,1,16,1
2,1,45.48142282,1,9, ,15,0
2,1,28.21810705,0,14, ,14,0
2,1,29.52747073,0,16, ,22,0
2,1,44.83457363,0,9, ,14,0
2,1,45.82306934,0,11, ,17,0
2,1,56.37888854,1,15, ,19,0
2,1,41.14766948,0,15, ,17,0
2,1,57.81671082,1,13, ,8,0
2,1,70.74771925,0,15,0,11,1
2,1,34.31800627,1,19, ,20,0
2,1,49.14804974,0,15, ,17,0
2,1,38.11261602,0,14, ,17,0
2,1,47.99378123,1,8, ,17,0
2,1,42.33209244,1,11, ,19,0
2,1,42.77149502,1,9, ,18,0
2,2,78.34236088,0,15, ,22,0
2,2,47.9316504,0,15, ,15,0
2,2,58.73840265,1,18, ,19,0
2,2,62.11990344,0,14,0,15,1
2,2,44.07505824,0,10, ,13,0
2,2,49.60036406,0,7, ,14,0
2,2,80.66233616,1,18, ,21,0
2,2,31.9219512,0,10, ,14,0
2,2,60.18018945,1,11, ,16,0
2,2,80.99803113,1,16, ,23,0
2,2,32.07822598,1,15, ,18,0
2,2,51.82748077,1,18, ,27,0
2,2,76.70129422,0,11, ,15,0
2,2,58.2727304,0,14, ,13,0
2,2,63.00488969,1,17, ,21,0
2,2,52.4214074,1,14,1,13,1
2,2,20.59796349,0,11, ,10,0
2,2,84.08984406,0,8, ,12,0
2,2,58.66677434,0,15, ,22,0
2,2,93.28399725,1,16, ,14,0
2,2,57.10180629,1,15, ,21,0
2,2,43.12553332,1,20, ,23,0
2,2,73.29369712,0,12, ,16,0
2,3,61.3215864,1,18, ,17,0
2,3,100.335904,0,10, ,12,0
2,3,75.91918253,0,8, ,6,0
2,3,67.00597091,1,16, ,16,0
2,3,69.93831453,0,11,0,13,1
2,3,72.53327399,0,15, ,17,0
2,3,71.26877129,1,15, ,25,0
2,3,67.34212805,0,21,0,21,1
2,3,52.01320844,1,20, ,20,0
2,3,59.98769845,1,11, ,16,0
