time,cause
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
1,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
2,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
3,maltreat
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
1,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
2,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
3,other
