famprog,empsatis,perfam
5,3.290073709,66
9,5.628286631,41
1,3.917956902,53
9,2.506512351,54
3,5.283470648,49
2,4.026213836,53
2,2.936998776,70
2,4.142006984,53
6,3.697300121,58
5,3.04315974,43
7,4.469990119,66
8,4.894978186,62
3,5.035859156,42
4,3.927803609,44
9,5.00578444,64
6,5.318759474,50
9,3.038047089,67
1,3.934851604,44
3,4.304901074,66
3,3.370747184,62
6,3.433505193,42
2,3.886601221,55
7,3.343135497,59
9,2.71760369,50
6,3.282399066,72
7,2.825991678,43
3,2.652348784,64
4,3.935519781,66
3,3.261747707,59
6,4.877441227,41
5,2.933910391,48
9,4.924587393,88
1,3.114996818,60
7,4.024013231,64
8,4.402410233,58
7,3.503734813,51
7,3.624596832,62
6,3.900745265,45
3,3.675485312,56
4,3.952232702,78
3,3.444587555,66
3,3.220192845,56
4,3.632734707,69
2,3.599167258,52
8,3.696537151,43
9,3.576571291,52
3,5.497380668,40
6,4.177086963,71
6,3.290101189,63
7,3.722632131,55
7,4.094803962,57
8,4.957396407,59
9,4.141234886,36
8,4.550538394,44
7,4.786215874,56
2,3.616395071,52
1,3.195858212,58
4,2.748749709,47
7,4.791262797,47
9,4.917206994,66
4,4.841715989,54
5,3.612929502,54
9,3.928149447,56
8,4.267645055,55
5,4.177088663,36
4,4.051022115,48
5,4.083222218,62
8,5.517966444,38
