score,difficulty,train
5.5,1,expert
2.6,1,expert
5.2,1,expert
3,1,expert
1.9,1,expert
2.7,1,expert
0.1,1,expert
2.6,2,expert
2.9,2,expert
5.5,2,expert
4.6,2,expert
4.1,2,expert
5.7,2,expert
4.1,2,expert
6.2,3,expert
6.3,3,expert
3.3,3,expert
5.1,3,expert
3.1,3,expert
3.8,3,expert
6.1,3,expert
6.9,4,expert
7.8,4,expert
2.9,4,expert
4.3,4,expert
6.8,4,expert
6.8,4,expert
6.9,4,expert
5.6,5,expert
9.9,5,expert
6.2,5,expert
8.4,5,expert
7.5,5,expert
7.4,5,expert
7.5,5,expert
3.4,1,novice
4.2,1,novice
4.1,1,novice
4.9,1,novice
5.1,1,novice
2.9,1,novice
0.8,1,novice
6,2,novice
6,2,novice
2.4,2,novice
4.1,2,novice
6.8,2,novice
5.5,2,novice
4.7,2,novice
4.8,3,novice
3.9,3,novice
4.6,3,novice
6.8,3,novice
5.4,3,novice
7.1,3,novice
7,3,novice
7,4,novice
6.3,4,novice
5.9,4,novice
5.5,4,novice
5.1,4,novice
5.1,4,novice
8.7,4,novice
5,5,novice
4.5,5,novice
3.8,5,novice
4.3,5,novice
2.9,5,novice
7.1,5,novice
4.3,5,novice
