psych1,psych2,psych3,psych4,ra1,ra2,ra3,rb1,rb2,rb3,rc1,rc2,rc3
1,1,1,1,1,1,1,0,1,0,1,1,1
1,1,1,1,1,1,1,0,1,1,0,1,0
1,1,1,1,1,1,1,1,1,0,1,1,0
1,1,1,1,1,0,0,0,1,0,1,1,1
1,1,1,1,1,1,1,0,0,0,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1,0
1,2,1,1,1,1,0,1,1,1,1,1,1
1,2,2,1,1,0,1,1,0,0,0,1,0
1,2,2,1,1,1,1,1,1,1,0,1,1
1,2,2,1,1,0,0,1,0,1,1,1,0
1,2,2,1,1,1,1,1,1,0,1,1,1
1,2,1,2,1,1,0,0,1,0,1,1,1
1,2,1,2,1,1,0,0,1,0,1,1,1
1,2,1,2,1,1,0,0,1,0,1,0,0
1,2,1,2,0,1,1,1,1,0,1,1,1
1,2,1,2,1,1,1,1,1,0,0,1,1
1,2,1,2,1,1,1,1,1,0,0,1,1
1,2,1,2,1,1,1,1,0,1,1,1,1
1,2,1,2,1,0,0,0,0,0,1,1,1
2,1,2,1,1,0,0,0,0,0,1,1,1
2,1,2,1,1,1,0,1,0,1,1,1,1
2,1,2,1,1,0,1,1,1,0,0,1,0
2,1,2,1,0,0,1,0,1,1,1,1,0
2,1,2,1,0,0,0,0,1,1,1,1,0
2,1,2,1,0,0,0,1,0,1,1,1,0
2,1,2,1,0,0,0,1,1,0,1,1,1
2,1,1,1,0,0,0,0,1,1,1,1,1
2,2,1,1,0,1,1,0,0,0,1,1,0
2,2,1,1,0,1,0,1,1,0,1,1,1
2,2,1,1,0,0,1,1,1,0,0,0,1
2,2,1,1,1,0,0,1,1,0,0,0,0
2,2,1,1,0,1,0,1,0,1,1,1,0
2,2,1,1,0,0,1,1,1,0,0,0,1
2,2,1,1,0,0,0,1,1,0,0,1,0
2,2,2,1,0,0,1,1,1,0,0,0,0
2,2,2,1,0,1,1,1,0,0,0,0,0
2,2,2,1,0,1,0,0,0,0,0,0,0
2,2,2,2,0,1,1,0,1,0,0,1,0
2,2,2,2,0,0,0,1,0,0,0,1,0
2,2,2,2,0,0,0,1,0,0,0,0,1
2,2,2,2,0,0,0,1,0,1,0,0,0
2,2,2,2,1,0,0,1,1,0,0,0,0
2,2,2,2,0,0,1,0,0,1,1,0,0
2,2,2,2,1,0,0,1,0,0,0,0,1
2,2,2,2,0,0,0,0,0,1,1,0,1
2,2,2,2,0,1,0,0,0,1,0,0,1
2,2,2,2,1,0,0,1,1,0,0,0,1
2,2,2,2,0,1,0,1,1,1,0,0,1
2,2,2,2,0,0,1,1,0,1,0,0,0
2,2,2,2,0,0,0,1,1,1,0,0,1
2,2,2,2,0,0,0,0,0,0,0,0,0
2,2,2,2,0,0,1,1,0,0,0,0,1
2,2,2,2,0,1,0,1,0,0,0,0,1
2,2,2,2,0,1,0,1,1,0,0,0,0
2,2,2,2,0,1,0,0,0,0,0,0,1
2,2,2,2,0,1,0,1,1,1,0,1,0
2,2,2,2,1,1,0,1,1,1,0,0,1
2,2,2,2,1,0,1,1,1,1,0,0,0
2,2,2,2,0,0,0,0,0,0,0,0,0
2,2,2,2,0,0,1,0,1,1,0,0,0
2,1,2,2,1,0,0,1,1,0,1,0,0
2,1,2,2,0,1,0,1,0,1,1,0,1
2,1,1,2,1,0,0,1,0,1,0,1,0
2,1,2,2,1,0,1,1,0,1,0,0,0
2,1,2,2,1,1,0,1,1,1,0,1,0
2,1,2,2,0,0,1,0,1,1,0,0,0
2,2,2,2,1,0,0,0,0,1,0,0,1
2,2,2,2,0,0,0,1,0,1,0,0,0
2,2,2,2,0,0,0,0,1,1,1,0,0
2,2,2,2,0,0,0,0,1,0,0,1,1
2,2,2,2,1,0,0,1,0,1,0,0,1
2,2,2,2,1,0,0,0,0,0,0,0,0
2,2,2,2,0,0,0,0,1,1,1,0,1
2,2,2,2,0,0,0,0,1,0,1,0,0
2,2,1,2,1,0,0,0,0,1,0,0,0
2,2,1,2,0,0,0,1,1,0,0,0,0
2,2,1,2,0,0,0,0,0,1,1,0,1
2,2,1,2,0,0,0,1,1,1,0,0,0
2,2,1,2,0,1,0,1,0,0,0,0,0
2,2,1,2,0,1,0,0,0,0,1,0,0
2,2,2,2,0,0,1,0,1,1,0,0,1
2,2,2,2,0,0,0,1,1,1,0,0,0
2,2,2,2,0,1,0,1,1,1,0,0,0
2,2,2,2,1,0,0,0,0,1,0,1,0
2,2,2,2,0,0,0,1,1,1,0,0,0
2,2,2,2,0,0,0,0,1,1,0,0,0
2,2,2,2,1,1,0,0,1,1,0,0,0
2,2,2,2,0,0,1,1,1,1,1,0,1
2,2,2,2,1,0,0,1,0,1,0,0,0
2,2,2,2,0,0,0,0,0,1,0,0,0
2,2,2,2,0,1,0,0,1,1,0,0,0
2,2,2,2,0,1,0,0,0,1,0,0,0
2,2,2,2,0,0,1,0,0,1,0,0,0
2,2,2,2,0,0,0,0,0,0,0,0,0
2,2,2,2,0,0,0,0,1,1,0,0,0
2,2,2,2,0,0,1,1,1,1,0,0,1
2,2,2,2,0,0,0,1,1,1,1,0,1
2,2,2,2,1,0,0,0,1,0,0,0,0
2,2,2,2,1,0,1,0,0,1,0,0,0
