,trial,set,rel,t1,t2,p1,p2,list,prime,target,target.len,target.freq,response,time,participant,list,item
,,,,,,,,,,,,,,,,,
1,2,m,n,n,t191,n,p191,l1,gingerbread,perometer,9,,nonword,526,1,1,nt191
,,,,,,,,,,,,,,,,,
2,3,m,u,u,t068,u,p068,l1,lantern,integrity,9,1468,word,322,1,1,ut068
,,,,,,,,,,,,,,,,,
3,4,m,n,n,t171,n,p171,l1,cupboard,gluff,5,,word,351,1,1,nt171
,,,,,,,,,,,,,,,,,
4,5,m,r,m,p017,m,t017,l1,mother,newborn,7,216,word,341,1,1,mp017
,,,,,,,,,,,,,,,,,
5,6,m,n,n,t057,n,p057,l1,otter,peme,4,,nonword,480,1,1,nt057
,,,,,,,,,,,,,,,,,
6,7,m,n,n,t059,n,p059,l1,toilet,feny,4,,word,324,1,1,nt059
,,,,,,,,,,,,,,,,,
7,8,m,n,n,t044,n,p044,l1,lumber,decall,6,,nonword,651,1,1,nt044
,,,,,,,,,,,,,,,,,
8,9,m,n,n,t151,n,p151,l1,card,legenk,6,,nonword,403,1,1,nt151
,,,,,,,,,,,,,,,,,
9,10,m,u,u,t038,u,p038,l1,pantry,insanity,8,213,nonword,333,1,1,ut038
,,,,,,,,,,,,,,,,,
10,11,m,n,n,t195,n,p195,l1,tripod,thraughter,10,,nonword,613,1,1,nt195
,,,,,,,,,,,,,,,,,
11,12,m,u,u,t024,u,p024,l1,jet,grandpa,7,145,word,393,1,1,ut024
,,,,,,,,,,,,,,,,,
12,13,m,r,m,p004,m,t004,l1,caterer,butter,6,2064,word,444,1,1,mp004
,,,,,,,,,,,,,,,,,
13,14,m,n,n,t045,n,p045,l1,strap,gulb,4,,nonword,351,1,1,nt045
,,,,,,,,,,,,,,,,,
14,15,m,n,n,t132,n,p132,l1,bathtub,bintert,7,,word,288,1,1,nt132
,,,,,,,,,,,,,,,,,
15,16,m,u,u,t079,u,p079,l1,badge,client,6,10824,word,552,1,1,ut079
,,,,,,,,,,,,,,,,,
16,17,m,r,m,p024,m,t024,l1,candidate,question,8,38185,word,562,1,1,mp024
,,,,,,,,,,,,,,,,,
17,18,m,n,n,t100,n,p100,l1,swimsuit,jallen,6,,nonword,426,1,1,nt100
,,,,,,,,,,,,,,,,,
18,19,m,n,n,t067,n,p067,l1,source,dench,5,,nonword,466,1,1,nt067
,,,,,,,,,,,,,,,,,
19,20,m,u,u,t089,u,p089,l1,colony,goodness,8,1438,word,311,1,1,ut089
,,,,,,,,,,,,,,,,,
20,22,m,r,m,p026,m,t026,l1,scholar,concept,7,8995,word,433,1,1,mp026
,,,,,,,,,,,,,,,,,
21,23,m,u,u,t070,u,p070,l1,tennis,history,7,19782,word,251,1,1,ut070
,,,,,,,,,,,,,,,,,
22,24,m,u,m,p065,m,t064,l1,player,score,5,5032,word,269,1,1,mp065
,,,,,,,,,,,,,,,,,
23,25,m,u,m,p049,m,t048,l1,politician,group,5,60248,word,310,1,1,mp049
,,,,,,,,,,,,,,,,,
24,26,m,r,m,p029,m,t029,l1,mechanic,brakes,6,1036,word,320,1,1,mp029
,,,,,,,,,,,,,,,,,
25,27,m,n,n,t125,n,p125,l1,pyramid,canbeen,7,,nonword,603,1,1,nt125
,,,,,,,,,,,,,,,,,
26,28,m,n,n,t075,n,p075,l1,river,kenial,6,,word,303,1,1,nt075
,,,,,,,,,,,,,,,,,
27,29,m,n,n,t176,n,p176,l1,seal,spathy,6,,word,391,1,1,nt176
,,,,,,,,,,,,,,,,,
