"subj" "subjNum" "expt" "order" "item" "itemNum" "verb" "attachment" "numorder" "cond" "pos" "text" "crit" "rt" "correct" "length" "words"
"9" "subj1" 1 1 30 "item1" 1 "IC" "high" "sg" "IChigh" 8 "routinely" "RC_VERB+1" 365.27 1 9 1
"22" "subj1" 1 1 45 "item2" 2 "nonIC" "high" "sg" "nonIChigh" 8 "definitely" "RC_VERB+1" 355.31 1 10 1
"35" "subj1" 1 1 36 "item3" 3 "IC" "low" "sg" "IClow" 8 "regularly" "RC_VERB+1" 279.83 1 9 1
"47" "subj1" 1 1 28 "item4" 4 "nonIC" "low" "sg" "nonIClow" 8 "consistently" "RC_VERB+1" 382.18 1 12 1
"59" "subj1" 1 1 58 "item5" 5 "IC" "high" "sg" "IChigh" 8 "occasionally" "RC_VERB+1" 222.86 1 12 1
"96" "subj1" 1 1 60 "item8" 8 "nonIC" "low" "sg" "nonIClow" 8 "usually" "RC_VERB+1" 266.93 1 7 1
"109" "subj1" 1 1 49 "item9" 9 "IC" "high" "sg" "IChigh" 8 "often" "RC_VERB+1" 172.89 1 5 1
"122" "subj1" 1 1 26 "item10" 10 "nonIC" "high" "sg" "nonIChigh" 8 "always" "RC_VERB+1" 321.88 1 6 1
"147" "subj1" 1 1 52 "item12" 12 "nonIC" "low" "pl" "nonIClow" 8 "forever" "RC_VERB+1" 234.87 1 7 1
"160" "subj1" 1 1 42 "item13" 13 "IC" "high" "pl" "IChigh" 8 "repeatedly" "RC_VERB+1" 234.53 1 10 1
"197" "subj1" 1 1 18 "item16" 16 "nonIC" "low" "pl" "nonIClow" 8 "nearly" "RC_VERB+1" 311.74 1 6 1
"210" "subj1" 1 1 21 "item17" 17 "IC" "high" "pl" "IChigh" 8 "generally" "RC_VERB+1" 407.71 1 9 1
"222" "subj1" 1 1 32 "item18" 18 "nonIC" "high" "pl" "nonIChigh" 8 "lately" "RC_VERB+1" 345.4 1 6 1
"234" "subj1" 1 1 55 "item19" 19 "IC" "low" "pl" "IClow" 8 "constantly" "RC_VERB+1" 232.82 1 10 1
"1263" "subj3" 3 1 63 "item1" 1 "IC" "low" "sg" "IClow" 8 "routinely" "RC_VERB+1" 186.89 1 9 1
"1276" "subj3" 3 1 47 "item2" 2 "nonIC" "low" "sg" "nonIClow" 8 "definitely" "RC_VERB+1" 333.19 1 10 1
"1289" "subj3" 3 1 41 "item3" 3 "IC" "high" "sg" "IChigh" 8 "regularly" "RC_VERB+1" 289.91 1 9 1
"1301" "subj3" 3 1 15 "item4" 4 "nonIC" "high" "sg" "nonIChigh" 8 "consistently" "RC_VERB+1" 638.45 1 12 1
"1313" "subj3" 3 1 55 "item5" 5 "IC" "low" "sg" "IClow" 8 "occasionally" "RC_VERB+1" 152.25 1 12 1
"1325" "subj3" 3 1 50 "item6" 6 "nonIC" "low" "sg" "nonIClow" 8 "deeply" "RC_VERB+1" 226.57 1 6 1
"1338" "subj3" 3 1 57 "item7" 7 "IC" "high" "sg" "IChigh" 8 "supposedly" "RC_VERB+1" 152.57 1 10 1
"1350" "subj3" 3 1 17 "item8" 8 "nonIC" "high" "sg" "nonIChigh" 8 "usually" "RC_VERB+1" 456.6 1 7 1
"1363" "subj3" 3 1 31 "item9" 9 "IC" "low" "sg" "IClow" 8 "often" "RC_VERB+1" 507 1 5 1
"1376" "subj3" 3 1 52 "item10" 10 "nonIC" "low" "sg" "nonIClow" 8 "always" "RC_VERB+1" 213.41 1 6 1
"1388" "subj3" 3 1 24 "item11" 11 "IC" "high" "pl" "IChigh" 8 "recently" "RC_VERB+1" 298.25 1 8 1
"1401" "subj3" 3 1 28 "item12" 12 "nonIC" "high" "pl" "nonIChigh" 8 "forever" "RC_VERB+1" 526.39 1 7 1
"1414" "subj3" 3 1 22 "item13" 13 "IC" "low" "pl" "IClow" 8 "repeatedly" "RC_VERB+1" 474.59 1 10 1
"1426" "subj3" 3 1 36 "item15" 15 "IC" "high" "pl" "IChigh" 8 "adamantly" "RC_VERB+1" 779.96 1 9 1
"1439" "subj3" 3 1 34 "item16" 16 "nonIC" "high" "pl" "nonIChigh" 8 "nearly" "RC_VERB+1" 403.49 1 6 1
"1452" "subj3" 3 1 20 "item17" 17 "IC" "low" "pl" "IClow" 8 "generally" "RC_VERB+1" 352.48 1 9 1
"1464" "subj3" 3 1 39 "item18" 18 "nonIC" "low" "pl" "nonIClow" 8 "lately" "RC_VERB+1" 335.82 1 6 1
"1476" "subj3" 3 1 60 "item19" 19 "IC" "high" "pl" "IChigh" 8 "constantly" "RC_VERB+1" 147.41 1 10 1
"1488" "subj3" 3 1 26 "item20" 20 "nonIC" "high" "pl" "nonIChigh" 8 "continually" "RC_VERB+1" 618.18 1 11 1
"1883" "subj4" 4 1 62 "item1" 1 "nonIC" "high" "sg" "nonIChigh" 8 "routinely" "RC_VERB+1" 212.63 1 9 1
"1896" "subj4" 4 1 37 "item2" 2 "IC" "low" "sg" "IClow" 8 "definitely" "RC_VERB+1" 348.56 1 10 1
"1909" "subj4" 4 1 30 "item3" 3 "nonIC" "low" "sg" "nonIClow" 8 "regularly" "RC_VERB+1" 387.03 1 9 1
"1921" "subj4" 4 1 50 "item4" 4 "IC" "high" "sg" "IChigh" 8 "consistently" "RC_VERB+1" 379.61 1 12 1
"1933" "subj4" 4 1 22 "item5" 5 "nonIC" "high" "sg" "nonIChigh" 8 "occasionally" "RC_VERB+1" 455.01 1 12 1
"1945" "subj4" 4 1 28 "item6" 6 "IC" "low" "sg" "IClow" 8 "deeply" "RC_VERB+1" 259.52 1 6 1
"1970" "subj4" 4 1 19 "item8" 8 "IC" "high" "sg" "IChigh" 8 "usually" "RC_VERB+1" 333.37 1 7 1
"1983" "subj4" 4 1 25 "item9" 9 "nonIC" "high" "sg" "nonIChigh" 8 "often" "RC_VERB+1" 638.86 1 5 1
"1996" "subj4" 4 1 17 "item10" 10 "IC" "low" "sg" "IClow" 8 "always" "RC_VERB+1" 347.24 1 6 1
"2008" "subj4" 4 1 32 "item11" 11 "nonIC" "low" "pl" "nonIClow" 8 "recently" "RC_VERB+1" 362.09 1 8 1
"2021" "subj4" 4 1 55 "item12" 12 "IC" "high" "pl" "IChigh" 8 "forever" "RC_VERB+1" 241.27 1 7 1
"2034" "subj4" 4 1 34 "item13" 13 "nonIC" "high" "pl" "nonIChigh" 8 "repeatedly" "RC_VERB+1" 230.37 1 10 1
"2071" "subj4" 4 1 60 "item16" 16 "IC" "high" "pl" "IChigh" 8 "nearly" "RC_VERB+1" 192.72 1 6 1
"2096" "subj4" 4 1 58 "item18" 18 "IC" "low" "pl" "IClow" 8 "lately" "RC_VERB+1" 521.9 1 6 1
"2108" "subj4" 4 1 42 "item19" 19 "nonIC" "low" "pl" "nonIClow" 8 "constantly" "RC_VERB+1" 479.3 1 10 1
"2120" "subj4" 4 1 53 "item20" 20 "IC" "high" "pl" "IChigh" 8 "continually" "RC_VERB+1" 607.33 1 11 1
"2510" "subj5" 5 1 49 "item1" 1 "IC" "high" "sg" "IChigh" 8 "routinely" "RC_VERB+1" 210.28 1 9 1
"2536" "subj5" 5 1 57 "item3" 3 "IC" "low" "sg" "IClow" 8 "regularly" "RC_VERB+1" 434.47 1 9 1
"2548" "subj5" 5 1 40 "item4" 4 "nonIC" "low" "sg" "nonIClow" 8 "consistently" "RC_VERB+1" 1007.97 1 12 1
"2560" "subj5" 5 1 60 "item5" 5 "IC" "high" "sg" "IChigh" 8 "occasionally" "RC_VERB+1" 205.4 1 12 1
"2572" "subj5" 5 1 42 "item6" 6 "nonIC" "high" "sg" "nonIChigh" 8 "deeply" "RC_VERB+1" 1858.37 1 6 1
"2585" "subj5" 5 1 34 "item7" 7 "IC" "low" "sg" "IClow" 8 "supposedly" "RC_VERB+1" 232.59 1 10 1
"2597" "subj5" 5 1 23 "item8" 8 "nonIC" "low" "sg" "nonIClow" 8 "usually" "RC_VERB+1" 236.23 1 7 1
"2610" "subj5" 5 1 20 "item9" 9 "IC" "high" "sg" "IChigh" 8 "often" "RC_VERB+1" 234.83 1 5 1
"2623" "subj5" 5 1 15 "item10" 10 "nonIC" "high" "sg" "nonIChigh" 8 "always" "RC_VERB+1" 328.12 1 6 1
"2635" "subj5" 5 1 37 "item11" 11 "IC" "low" "pl" "IClow" 8 "recently" "RC_VERB+1" 496.23 1 8 1
"2648" "subj5" 5 1 31 "item12" 12 "nonIC" "low" "pl" "nonIClow" 8 "forever" "RC_VERB+1" 324.18 1 7 1
"2661" "subj5" 5 1 44 "item13" 13 "IC" "high" "pl" "IChigh" 8 "repeatedly" "RC_VERB+1" 247.87 1 10 1
"2673" "subj5" 5 1 55 "item14" 14 "nonIC" "high" "pl" "nonIChigh" 8 "perpetually" "RC_VERB+1" 370.96 1 11 1
"2685" "subj5" 5 1 26 "item15" 15 "IC" "low" "pl" "IClow" 8 "adamantly" "RC_VERB+1" 1029.27 1 9 1
"2698" "subj5" 5 1 62 "item16" 16 "nonIC" "low" "pl" "nonIClow" 8 "nearly" "RC_VERB+1" 249.05 1 6 1
"2711" "subj5" 5 1 51 "item17" 17 "IC" "high" "pl" "IChigh" 8 "generally" "RC_VERB+1" 246.86 1 9 1
"2723" "subj5" 5 1 29 "item18" 18 "nonIC" "high" "pl" "nonIChigh" 8 "lately" "RC_VERB+1" 416.49 1 6 1
"2735" "subj5" 5 1 17 "item19" 19 "IC" "low" "pl" "IClow" 8 "constantly" "RC_VERB+1" 870.14 1 10 1
"2747" "subj5" 5 1 47 "item20" 20 "nonIC" "low" "pl" "nonIClow" 8 "continually" "RC_VERB+1" 196.86 1 11 1
"3151" "subj6" 6 1 63 "item1" 1 "nonIC" "low" "sg" "nonIClow" 8 "routinely" "RC_VERB+1" 590.13 1 9 1
"3164" "subj6" 6 1 42 "item2" 2 "IC" "high" "sg" "IChigh" 8 "definitely" "RC_VERB+1" 385.28 1 10 1
"3177" "subj6" 6 1 25 "item3" 3 "nonIC" "high" "sg" "nonIChigh" 8 "regularly" "RC_VERB+1" 436.16 1 9 1
"3201" "subj6" 6 1 40 "item5" 5 "nonIC" "low" "sg" "nonIClow" 8 "occasionally" "RC_VERB+1" 659.31 1 12 1
"3213" "subj6" 6 1 45 "item6" 6 "IC" "high" "sg" "IChigh" 8 "deeply" "RC_VERB+1" 443.82 1 6 1
"3238" "subj6" 6 1 33 "item8" 8 "IC" "low" "sg" "IClow" 8 "usually" "RC_VERB+1" 285.12 1 7 1
"3251" "subj6" 6 1 37 "item9" 9 "nonIC" "low" "sg" "nonIClow" 8 "often" "RC_VERB+1" 300.62 1 5 1
"3264" "subj6" 6 1 50 "item10" 10 "IC" "high" "sg" "IChigh" 8 "always" "RC_VERB+1" 291.99 1 6 1
"3276" "subj6" 6 1 53 "item11" 11 "nonIC" "high" "pl" "nonIChigh" 8 "recently" "RC_VERB+1" 434.16 1 8 1
"3289" "subj6" 6 1 19 "item12" 12 "IC" "low" "pl" "IClow" 8 "forever" "RC_VERB+1" 1362.2 1 7 1
"3326" "subj6" 6 1 30 "item15" 15 "nonIC" "high" "pl" "nonIChigh" 8 "adamantly" "RC_VERB+1" 908.48 1 9 1
"3339" "subj6" 6 1 58 "item17" 17 "nonIC" "low" "pl" "nonIClow" 8 "generally" "RC_VERB+1" 366.69 1 9 1
"3351" "subj6" 6 1 22 "item18" 18 "IC" "high" "pl" "IChigh" 8 "lately" "RC_VERB+1" 396.99 1 6 1
"3363" "subj6" 6 1 56 "item19" 19 "nonIC" "high" "pl" "nonIChigh" 8 "constantly" "RC_VERB+1" 344.33 1 10 1
"3779" "subj7" 7 1 51 "item1" 1 "IC" "low" "sg" "IClow" 8 "routinely" "RC_VERB+1" 335.01 1 9 1
"3792" "subj7" 7 1 40 "item2" 2 "nonIC" "low" "sg" "nonIClow" 8 "definitely" "RC_VERB+1" 471.42 1 10 1
"3817" "subj7" 7 1 38 "item4" 4 "nonIC" "high" "sg" "nonIChigh" 8 "consistently" "RC_VERB+1" 351.27 1 12 1
"3829" "subj7" 7 1 17 "item5" 5 "IC" "low" "sg" "IClow" 8 "occasionally" "RC_VERB+1" 316.04 1 12 1
"3841" "subj7" 7 1 57 "item6" 6 "nonIC" "low" "sg" "nonIClow" 8 "deeply" "RC_VERB+1" 330.14 1 6 1
"3866" "subj7" 7 1 28 "item8" 8 "nonIC" "high" "sg" "nonIChigh" 8 "usually" "RC_VERB+1" 282.29 1 7 1
"3879" "subj7" 7 1 22 "item9" 9 "IC" "low" "sg" "IClow" 8 "often" "RC_VERB+1" 345.66 1 5 1
"3892" "subj7" 7 1 62 "item10" 10 "nonIC" "low" "sg" "nonIClow" 8 "always" "RC_VERB+1" 366.86 1 6 1
"3904" "subj7" 7 1 53 "item11" 11 "IC" "high" "pl" "IChigh" 8 "recently" "RC_VERB+1" 333.18 1 8 1
"3917" "subj7" 7 1 19 "item12" 12 "nonIC" "high" "pl" "nonIChigh" 8 "forever" "RC_VERB+1" 462.73 1 7 1
"3930" "subj7" 7 1 34 "item13" 13 "IC" "low" "pl" "IClow" 8 "repeatedly" "RC_VERB+1" 253.75 1 10 1
"3942" "subj7" 7 1 43 "item14" 14 "nonIC" "low" "pl" "nonIClow" 8 "perpetually" "RC_VERB+1" 397.68 1 11 1
"3954" "subj7" 7 1 48 "item15" 15 "IC" "high" "pl" "IChigh" 8 "adamantly" "RC_VERB+1" 346.51 1 9 1
"3967" "subj7" 7 1 55 "item16" 16 "nonIC" "high" "pl" "nonIChigh" 8 "nearly" "RC_VERB+1" 297.9 1 6 1
"3980" "subj7" 7 1 46 "item17" 17 "IC" "low" "pl" "IClow" 8 "generally" "RC_VERB+1" 306.7 1 9 1
"4004" "subj7" 7 1 31 "item19" 19 "IC" "high" "pl" "IChigh" 8 "constantly" "RC_VERB+1" 286.5 1 10 1
"4016" "subj7" 7 1 15 "item20" 20 "nonIC" "high" "pl" "nonIChigh" 8 "continually" "RC_VERB+1" 303.8 1 11 1
"4420" "subj8" 8 1 41 "item1" 1 "nonIC" "high" "sg" "nonIChigh" 8 "routinely" "RC_VERB+1" 1119.24 1 9 1
"4433" "subj8" 8 1 54 "item2" 2 "IC" "low" "sg" "IClow" 8 "definitely" "RC_VERB+1" 444.6 1 10 1
"4446" "subj8" 8 1 15 "item3" 3 "nonIC" "low" "sg" "nonIClow" 8 "regularly" "RC_VERB+1" 472.78 1 9 1
"4458" "subj8" 8 1 46 "item4" 4 "IC" "high" "sg" "IChigh" 8 "consistently" "RC_VERB+1" 466.87 1 12 1
"4470" "subj8" 8 1 62 "item5" 5 "nonIC" "high" "sg" "nonIChigh" 8 "occasionally" "RC_VERB+1" 719.89 1 12 1
"4482" "subj8" 8 1 34 "item6" 6 "IC" "low" "sg" "IClow" 8 "deeply" "RC_VERB+1" 312.79 1 6 1
"4495" "subj8" 8 1 29 "item7" 7 "nonIC" "low" "sg" "nonIClow" 8 "supposedly" "RC_VERB+1" 439.56 1 10 1
"4507" "subj8" 8 1 38 "item8" 8 "IC" "high" "sg" "IChigh" 8 "usually" "RC_VERB+1" 994.56 1 7 1
"4533" "subj8" 8 1 52 "item10" 10 "IC" "low" "sg" "IClow" 8 "always" "RC_VERB+1" 739.04 1 6 1
"4545" "subj8" 8 1 36 "item11" 11 "nonIC" "low" "pl" "nonIClow" 8 "recently" "RC_VERB+1" 369.57 1 8 1
"4558" "subj8" 8 1 31 "item12" 12 "IC" "high" "pl" "IChigh" 8 "forever" "RC_VERB+1" 356.27 1 7 1
"4571" "subj8" 8 1 17 "item13" 13 "nonIC" "high" "pl" "nonIChigh" 8 "repeatedly" "RC_VERB+1" 428.1 1 10 1
"4583" "subj8" 8 1 20 "item14" 14 "IC" "low" "pl" "IClow" 8 "perpetually" "RC_VERB+1" 776.64 1 11 1
"4608" "subj8" 8 1 27 "item16" 16 "IC" "high" "pl" "IChigh" 8 "nearly" "RC_VERB+1" 367.57 1 6 1
"4621" "subj8" 8 1 22 "item17" 17 "nonIC" "high" "pl" "nonIChigh" 8 "generally" "RC_VERB+1" 1205.98 1 9 1
"4633" "subj8" 8 1 57 "item18" 18 "IC" "low" "pl" "IClow" 8 "lately" "RC_VERB+1" 679.07 1 6 1
"4645" "subj8" 8 1 59 "item19" 19 "nonIC" "low" "pl" "nonIClow" 8 "constantly" "RC_VERB+1" 362.38 1 10 1
"4657" "subj8" 8 1 44 "item20" 20 "IC" "high" "pl" "IChigh" 8 "continually" "RC_VERB+1" 850.91 1 11 1
"5047" "subj9" 9 1 41 "item1" 1 "IC" "high" "sg" "IChigh" 8 "routinely" "RC_VERB+1" 491.88 1 9 1
"5073" "subj9" 9 1 62 "item3" 3 "IC" "low" "sg" "IClow" 8 "regularly" "RC_VERB+1" 704.31 1 9 1
"5097" "subj9" 9 1 39 "item5" 5 "IC" "high" "sg" "IChigh" 8 "occasionally" "RC_VERB+1" 568.17 1 12 1
"5109" "subj9" 9 1 58 "item6" 6 "nonIC" "high" "sg" "nonIChigh" 8 "deeply" "RC_VERB+1" 448.97 1 6 1
"5134" "subj9" 9 1 15 "item8" 8 "nonIC" "low" "sg" "nonIClow" 8 "usually" "RC_VERB+1" 659.64 1 7 1
"5147" "subj9" 9 1 27 "item9" 9 "IC" "high" "sg" "IChigh" 8 "often" "RC_VERB+1" 537.88 1 5 1
"5160" "subj9" 9 1 53 "item10" 10 "nonIC" "high" "sg" "nonIChigh" 8 "always" "RC_VERB+1" 398.38 1 6 1
"5185" "subj9" 9 1 50 "item12" 12 "nonIC" "low" "pl" "nonIClow" 8 "forever" "RC_VERB+1" 517.72 1 7 1
"5198" "subj9" 9 1 21 "item13" 13 "IC" "high" "pl" "IChigh" 8 "repeatedly" "RC_VERB+1" 871.36 1 10 1
"5210" "subj9" 9 1 37 "item14" 14 "nonIC" "high" "pl" "nonIChigh" 8 "perpetually" "RC_VERB+1" 1746.15 1 11 1
"5222" "subj9" 9 1 32 "item15" 15 "IC" "low" "pl" "IClow" 8 "adamantly" "RC_VERB+1" 1143.96 1 9 1
"5235" "subj9" 9 1 24 "item16" 16 "nonIC" "low" "pl" "nonIClow" 8 "nearly" "RC_VERB+1" 427.23 1 6 1
"5248" "subj9" 9 1 30 "item17" 17 "IC" "high" "pl" "IChigh" 8 "generally" "RC_VERB+1" 418.17 1 9 1
"5260" "subj9" 9 1 46 "item18" 18 "nonIC" "high" "pl" "nonIChigh" 8 "lately" "RC_VERB+1" 491.13 1 6 1
"5272" "subj9" 9 1 55 "item19" 19 "IC" "low" "pl" "IClow" 8 "constantly" "RC_VERB+1" 666.66 1 10 1
"5284" "subj9" 9 1 60 "item20" 20 "nonIC" "low" "pl" "nonIClow" 8 "continually" "RC_VERB+1" 697.48 1 11 1
"6315" "subj11" 11 1 24 "item1" 1 "IC" "low" "sg" "IClow" 8 "routinely" "RC_VERB+1" 255.56 1 9 1
"6328" "subj11" 11 1 21 "item2" 2 "nonIC" "low" "sg" "nonIClow" 8 "definitely" "RC_VERB+1" 387.66 1 10 1
"6341" "subj11" 11 1 15 "item3" 3 "IC" "high" "sg" "IChigh" 8 "regularly" "RC_VERB+1" 473.99 1 9 1
"6353" "subj11" 11 1 61 "item4" 4 "nonIC" "high" "sg" "nonIChigh" 8 "consistently" "RC_VERB+1" 426.78 1 12 1
"6365" "subj11" 11 1 56 "item5" 5 "IC" "low" "sg" "IClow" 8 "occasionally" "RC_VERB+1" 694.22 1 12 1
"6377" "subj11" 11 1 32 "item6" 6 "nonIC" "low" "sg" "nonIClow" 8 "deeply" "RC_VERB+1" 551.44 1 6 1
"6390" "subj11" 11 1 43 "item7" 7 "IC" "high" "sg" "IChigh" 8 "supposedly" "RC_VERB+1" 436.36 1 10 1
"6402" "subj11" 11 1 49 "item8" 8 "nonIC" "high" "sg" "nonIChigh" 8 "usually" "RC_VERB+1" 482.38 1 7 1
"6415" "subj11" 11 1 58 "item9" 9 "IC" "low" "sg" "IClow" 8 "often" "RC_VERB+1" 496.92 1 5 1
"6428" "subj11" 11 1 26 "item10" 10 "nonIC" "low" "sg" "nonIClow" 8 "always" "RC_VERB+1" 994.69 1 6 1
"6440" "subj11" 11 1 63 "item11" 11 "IC" "high" "pl" "IChigh" 8 "recently" "RC_VERB+1" 333.01 1 8 1
"6453" "subj11" 11 1 46 "item12" 12 "nonIC" "high" "pl" "nonIChigh" 8 "forever" "RC_VERB+1" 709.4 1 7 1
"6466" "subj11" 11 1 39 "item13" 13 "IC" "low" "pl" "IClow" 8 "repeatedly" "RC_VERB+1" 384.6 1 10 1
"6478" "subj11" 11 1 18 "item14" 14 "nonIC" "low" "pl" "nonIClow" 8 "perpetually" "RC_VERB+1" 321.41 1 11 1
"6490" "subj11" 11 1 36 "item15" 15 "IC" "high" "pl" "IChigh" 8 "adamantly" "RC_VERB+1" 296.68 1 9 1
"6503" "subj11" 11 1 54 "item16" 16 "nonIC" "high" "pl" "nonIChigh" 8 "nearly" "RC_VERB+1" 400.12 1 6 1
"6516" "subj11" 11 1 52 "item18" 18 "nonIC" "low" "pl" "nonIClow" 8 "lately" "RC_VERB+1" 323.89 1 6 1
"6528" "subj11" 11 1 29 "item19" 19 "IC" "high" "pl" "IChigh" 8 "constantly" "RC_VERB+1" 440.24 1 10 1
"6540" "subj11" 11 1 41 "item20" 20 "nonIC" "high" "pl" "nonIChigh" 8 "continually" "RC_VERB+1" 520.07 1 11 1
"6874" "subj12" 12 1 26 "item1" 1 "nonIC" "high" "sg" "nonIChigh" 8 "routinely" "RC_VERB+1" 626.26 1 9 1
"6887" "subj12" 12 1 40 "item2" 2 "IC" "low" "sg" "IClow" 8 "definitely" "RC_VERB+1" 489.99 1 10 1
"6900" "subj12" 12 1 63 "item3" 3 "nonIC" "low" "sg" "nonIClow" 8 "regularly" "RC_VERB+1" 779.19 1 9 1
"6912" "subj12" 12 1 56 "item4" 4 "IC" "high" "sg" "IChigh" 8 "consistently" "RC_VERB+1" 567.78 1 12 1
"6924" "subj12" 12 1 29 "item5" 5 "nonIC" "high" "sg" "nonIChigh" 8 "occasionally" "RC_VERB+1" 687.17 1 12 1
"6936" "subj12" 12 1 61 "item6" 6 "IC" "low" "sg" "IClow" 8 "deeply" "RC_VERB+1" 463.48 1 6 1
"6949" "subj12" 12 1 49 "item7" 7 "nonIC" "low" "sg" "nonIClow" 8 "supposedly" "RC_VERB+1" 600.94 1 10 1
"6961" "subj12" 12 1 18 "item8" 8 "IC" "high" "sg" "IChigh" 8 "usually" "RC_VERB+1" 576.58 1 7 1
"6974" "subj12" 12 1 53 "item9" 9 "nonIC" "high" "sg" "nonIChigh" 8 "often" "RC_VERB+1" 656.25 1 5 1
"6999" "subj12" 12 1 59 "item11" 11 "nonIC" "low" "pl" "nonIClow" 8 "recently" "RC_VERB+1" 563.08 1 8 1
"7012" "subj12" 12 1 43 "item12" 12 "IC" "high" "pl" "IChigh" 8 "forever" "RC_VERB+1" 584.27 1 7 1
"7025" "subj12" 12 1 46 "item13" 13 "nonIC" "high" "pl" "nonIChigh" 8 "repeatedly" "RC_VERB+1" 1347.09 1 10 1
"7049" "subj12" 12 1 32 "item15" 15 "nonIC" "low" "pl" "nonIClow" 8 "adamantly" "RC_VERB+1" 839.45 1 9 1
"7062" "subj12" 12 1 51 "item16" 16 "IC" "high" "pl" "IChigh" 8 "nearly" "RC_VERB+1" 657.85 1 6 1
"7075" "subj12" 12 1 15 "item17" 17 "nonIC" "high" "pl" "nonIChigh" 8 "generally" "RC_VERB+1" 616.61 1 9 1
"7087" "subj12" 12 1 38 "item18" 18 "IC" "low" "pl" "IClow" 8 "lately" "RC_VERB+1" 688.38 1 6 1
"7099" "subj12" 12 1 23 "item19" 19 "nonIC" "low" "pl" "nonIClow" 8 "constantly" "RC_VERB+1" 535.26 1 10 1
"7111" "subj12" 12 1 34 "item20" 20 "IC" "high" "pl" "IChigh" 8 "continually" "RC_VERB+1" 419.4 1 11 1
"7515" "subj13" 13 1 47 "item1" 1 "IC" "high" "sg" "IChigh" 8 "routinely" "RC_VERB+1" 330.45 1 9 1
"7541" "subj13" 13 1 23 "item3" 3 "IC" "low" "sg" "IClow" 8 "regularly" "RC_VERB+1" 486.44 1 9 1
"7553" "subj13" 13 1 36 "item4" 4 "nonIC" "low" "sg" "nonIClow" 8 "consistently" "RC_VERB+1" 529.22 1 12 1
"7565" "subj13" 13 1 54 "item5" 5 "IC" "high" "sg" "IChigh" 8 "occasionally" "RC_VERB+1" 369.5 1 12 1
"7577" "subj13" 13 1 29 "item6" 6 "nonIC" "high" "sg" "nonIChigh" 8 "deeply" "RC_VERB+1" 454.05 1 6 1
"7602" "subj13" 13 1 51 "item8" 8 "nonIC" "low" "sg" "nonIClow" 8 "usually" "RC_VERB+1" 312.94 1 7 1
"7628" "subj13" 13 1 42 "item10" 10 "nonIC" "high" "sg" "nonIChigh" 8 "always" "RC_VERB+1" 328.57 1 6 1
"7640" "subj13" 13 1 20 "item11" 11 "IC" "low" "pl" "IClow" 8 "recently" "RC_VERB+1" 365.59 1 8 1
"7653" "subj13" 13 1 33 "item12" 12 "nonIC" "low" "pl" "nonIClow" 8 "forever" "RC_VERB+1" 315.18 1 7 1
"7666" "subj13" 13 1 56 "item13" 13 "IC" "high" "pl" "IChigh" 8 "repeatedly" "RC_VERB+1" 319.34 1 10 1
"7678" "subj13" 13 1 40 "item14" 14 "nonIC" "high" "pl" "nonIChigh" 8 "perpetually" "RC_VERB+1" 323.9 1 11 1
"7690" "subj13" 13 1 15 "item15" 15 "IC" "low" "pl" "IClow" 8 "adamantly" "RC_VERB+1" 414.35 1 9 1
"7703" "subj13" 13 1 59 "item16" 16 "nonIC" "low" "pl" "nonIClow" 8 "nearly" "RC_VERB+1" 373.17 1 6 1
"7728" "subj13" 13 1 38 "item18" 18 "nonIC" "high" "pl" "nonIChigh" 8 "lately" "RC_VERB+1" 372.75 1 6 1
"7740" "subj13" 13 1 62 "item19" 19 "IC" "low" "pl" "IClow" 8 "constantly" "RC_VERB+1" 369.04 1 10 1
