id,age,kids,jobsatis,marsatis,lifsatis
1,35.9528172,0,3,4,4
2,41.75356805,1,4,1,1
3,59.95150685,0,3,4,3
4,23.75353813,0,3,1,2
5,48.01328778,1,4,5,4
6,34.49324071,0,3,6,4
7,45.46297252,5,3,3,4
8,41.63756862,0,4,1,4
9,26.14690542,0,3,2,2
10,44.32885349,0,2,7,4
11,49.10007477,6,5,2,7
12,57.94030309,0,3,4,2
13,36.98174328,3,5,2,5
14,31.64618671,0,2,2,2
15,32.68621743,2,3,3,3
16,28.09917212,0,4,4,1
17,23.55702996,0,4,3,2
18,38.94902803,0,4,6,4
19,32.28120148,3,3,1,4
20,48.73523414,0,2,4,1
21,61.96172237,2,5,1,2
22,43.37737978,0,5,3,4
23,38.75579111,1,4,2,3
24,40.30737847,0,3,1,2
25,40.07646065,5,4,4,3
26,43.81563574,4,4,3,6
27,39.6768979,0,3,2,3
28,51.04289532,1,2,5,4
29,47.54884899,4,4,1,5
30,38.69580895,0,5,3,3
31,38.04588914,0,4,3,3
32,35.8426258,0,2,3,3
33,68.42941999,4,3,3,1
34,49.9457711,0,4,5,3
35,33.64124596,0,5,2,1
36,21.35716438,0,2,5,2
37,37.51224801,8,4,1,5
38,30.21681488,0,4,4,2
39,43.02526861,4,4,3,7
40,42.15528205,3,3,3,4
41,21.79019094,1,4,1,1
42,49.76763248,4,6,1,4
43,45.94065309,0,4,7,5
44,25.26280999,0,4,2,1
45,35.26273243,2,4,3,4
46,40.26509212,0,4,5,4
47,61.21091843,5,1,1,3
48,54.29797411,1,4,6,6
49,38.28106135,4,3,2,5
50,67.85850048,2,4,5,5
51,42.07323343,3,3,1,3
52,41.90447256,0,2,3,6
53,27.10751176,0,3,4,2
54,51.64091468,4,3,1,2
55,31.35371685,0,3,1,1
56,45.3150177,1,4,3,3
57,34.07421768,0,3,3,2
58,39.9798112,1,4,4,4
59,36.12926185,2,4,6,3
60,37.99436703,7,3,1,3
61,43.9472574,3,3,1,2
62,30.1362741,8,4,1,5
