method,satis,time,ability,perform
1,5,22,13,26.5
1,4,12,27,19.6
1,2,22,18,26.4
1,5,20,18,25.1
1,4,22,29,28
1,4,18,30,27.4
1,6,20,33,32.8
1,3,16,37,23.7
1,5,12,10,16.9
1,4,12,14,19
1,6,16,17,25.8
1,6,12,40,28.6
1,4,18,12,22.8
1,2,20,15,24.4
1,1,20,16,23.9
1,6,14,29,27.8
1,4,18,7,24.8
1,4,14,20,24.6
1,2,16,7,20
1,3,22,7,21.9
2,6,20,42,22.6
2,8,16,28,22.6
2,5,14,30,21.1
2,4,16,40,19.2
2,6,20,38,25.8
2,7,18,34,20.9
2,5,20,44,26.3
2,3,24,28,22.3
2,5,20,32,19.9
2,6,22,28,23.6
2,5,16,40,18.9
2,9,22,36,26.3
2,6,18,34,24.2
2,9,16,28,23.3
2,7,12,24,19.5
2,5,18,38,21.3
2,3,16,34,18.3
2,8,20,30,25.6
2,3,22,24,19.7
2,8,12,34,23.2
3,4,24,34,21.2
3,5,24,22,20.5
3,7,22,22,19.1
3,7,22,27,21.1
3,3,20,22,20.5
3,3,20,49,25.9
3,5,16,43,20.5
3,5,20,48,26.1
3,2,16,36,16
3,4,18,47,23.4
3,5,26,14,17.7
3,6,18,45,23.4
3,7,18,29,18.9
3,4,22,40,25.6
3,4,16,33,20.8
3,7,26,25,22.3
3,6,22,49,23.8
3,3,18,32,21.7
3,7,16,47,24.7
3,6,20,24,20
 , , , , 
 , , , , 
