,comclip1.rat,comclip2.rat,comclip3.rat,comclip4.rat,comclip5.rat,comclip6.rat,comclip7.rat,comclip8.rat,comclip9.rat,comclip10.rat,statsclip1.rat,statsclip2.rat,statsclip3.rat,statsclip4.rat,statsclip5.rat,statsclip6.rat,statsclip7.rat,statsclip8.rat,statsclip9.rat,statsclip10.rat,comclip1.len,comclip2.len,comclip3.len,comclip4.len,comclip5.len,comclip6.len,comclip7.len,comclip8.len,comclip9.len,comclip10.len,statsclip1.len,statsclip2.len,statsclip3.len,statsclip4.len,statsclip5.len,statsclip6.len,statsclip7.len,statsclip8.len,statsclip9.len,statsclip10.len
1,4,4,1,2,5,3,3,5,5,3,0,4,3,2,3,2,2,4,3,3,70,64,99,83,69,72,78,62,47,68,114,65,72,103,81,72,74,73,75,97
2,4,2,2,4,4,3,4,4,3,3,2,3,3,2,5,2,2,3,2,2,63,79,101,79,82,82,64,70,84,69,95,74,77,92,61,82,98,72,82,86
3,2,5,4,2,4,1,3,3,1,4,2,3,2,3,3,4,4,3,2,4,94,64,71,69,74,83,68,91,104,69,86,76,92,86,73,70,71,76,83,77
4,4,4,5,5,2,3,4,4,3,3,2,4,4,3,1,3,4,4,1,3,63,80,50,62,91,88,75,62,82,72,92,62,56,88,97,74,56,52,103,54
5,2,3,5,5,4,5,5,5,4,3,3,4,4,4,3,3,4,4,4,3,85,57,47,53,68,75,49,55,62,80,82,78,69,77,80,86,59,74,74,72
6,2,4,3,5,5,4,2,3,2,3,2,4,5,3,2,3,1,1,3,3,84,66,68,62,55,64,87,87,84,85,100,67,64,77,93,93,106,93,70,67
7,2,5,3,2,3,3,4,2,4,5,3,4,3,3,2,2,3,5,4,2,77,60,68,92,77,81,72,89,69,54,78,73,85,77,95,80,62,44,64,90
8,2,2,4,4,5,2,5,2,4,2,2,6,3,3,2,3,4,3,4,2,82,82,79,58,56,84,58,84,67,80,96,36,84,71,85,87,66,91,74,72
9,4,4,3,2,5,5,2,3,3,2,4,3,1,3,2,2,5,3,4,3,72,71,62,88,57,60,93,85,77,90,67,87,105,74,68,92,62,73,74,68
10,5,3,5,4,4,4,3,4,5,3,2,2,3,4,4,5,3,1,5,2,58,84,59,62,76,69,77,52,59,70,80,97,71,67,66,51,76,102,55,85
11,3,2,3,5,2,2,3,1,2,2,4,2,2,2,6,3,4,4,4,2,73,86,79,75,82,87,77,93,83,76,85,94,94,86,46,84,70,69,73,79
12,3,4,4,2,4,5,4,3,2,2,3,3,3,0,3,2,4,3,3,3,65,67,72,84,65,56,72,65,91,79,87,68,76,108,88,63,71,84,85,87
13,4,4,5,4,3,5,4,3,5,3,4,3,3,3,3,3,3,2,3,2,62,68,66,73,77,73,73,68,62,76,72,70,82,78,75,87,82,97,85,73
14,4,4,3,3,2,5,3,5,2,4,3,3,5,2,2,3,4,2,3,2,66,77,78,71,94,56,68,71,92,75,68,80,67,92,91,67,80,83,63,72
15,3,5,2,2,5,5,3,4,4,3,3,3,4,2,3,4,1,0,3,3,64,47,77,83,61,63,89,68,64,78,78,80,66,77,79,61,109,108,84,81
16,3,2,3,3,3,3,3,2,1,4,2,3,2,5,4,2,3,5,2,4,84,84,79,72,64,77,82,77,102,65,92,71,75,74,57,96,77,49,91,59
17,2,4,3,3,2,3,2,2,4,3,4,4,4,2,5,4,4,3,2,3,90,58,83,67,94,75,90,83,64,74,71,50,54,91,64,76,70,67,78,96
18,4,4,2,5,5,4,3,2,3,3,3,3,3,2,4,1,3,4,4,1,62,78,95,62,59,77,95,94,68,75,73,77,73,89,67,94,84,78,80,95
19,4,3,5,4,4,5,2,2,2,1,4,4,2,3,2,3,3,3,4,5,71,88,69,67,53,66,92,80,85,89,69,70,106,79,102,77,69,76,78,64
20,4,3,2,5,3,5,3,4,4,2,2,2,3,2,1,2,2,4,4,4,67,57,84,53,83,42,78,83,72,93,96,85,75,64,90,91,96,74,62,58
21,3,3,3,5,3,3,3,3,5,3,2,4,5,3,2,3,3,2,4,4,69,80,80,60,78,71,82,78,61,75,85,61,46,80,78,79,66,87,55,79
