Sub,time0,wordsprod,sex
2,1,30,0
3,1,97,0
4,1,43,0
5,1,25,0
6,1,159,1
7,1,22,0
9,1,37,0
11,1,61,1
14,1,69,0
16,1,105,1
17,1,23,0
19,1,107,1
20,1,40,0
21,1,32,1
22,1,49,0
23,1,23,0
26,1,81,1
27,1,5,0
28,1,65,0
29,1,111,1
30,1,38,0
31,1,411,1
32,1,167,1
33,1,29,0
34,1,55,1
35,1,77,0
36,1,152,0
37,1,6,0
40,1,167,1
41,1,70,1
42,1,104,1
43,1,74,1
44,1,96,1
45,1,20,1
46,1,172,1
47,1,6,1
48,1,19,1
49,1,124,1
50,1,61,1
51,1,136,1
52,1,17,1
53,1,200,1
54,1,137,0
55,1,135,1
56,1,151,0
57,1,220,1
58,1,210,0
59,1,77,1
61,1,122,1
62,1,267,0
63,1,154,0
65,1,151,0
67,1,236,1
68,1,54,0
70,1,16,0
71,1,7,0
72,1,62,1
73,1,7,0
75,1,21,0
76,1,52,1
77,1,14,1
78,1,10,1
79,1,36,1
80,1,15,1
81,1,29,0
82,1,2,0
83,1,88,0
84,1,2,0
85,1,254,0
86,1,14,0
87,1,12,1
88,1,2,0
89,1,46,0
90,1,91,0
91,1,5,1
92,1,17,0
93,1,2,0
94,1,7,0
95,1,70,1
97,1,27,1
100,1,34,1
105,1,45,1
2,2,97,0
3,2,237,0
4,2,95,0
5,2,138,0
6,2,501,1
7,2,41,0
9,2,75,0
11,2,267,1
14,2,187,0
16,2,282,1
17,2,52,0
19,2,318,1
20,2,159,0
21,2,233,1
22,2,58,0
23,2,106,0
26,2,258,1
27,2,10,0
28,2,224,0
29,2,218,1
30,2,269,0
31,2,491,1
32,2,559,1
33,2,54,0
34,2,137,1
35,2,154,0
36,2,492,0
37,2,12,0
40,2,444,1
41,2,234,1
42,2,375,1
43,2,216,1
44,2,254,1
45,2,173,1
46,2,201,1
47,2,24,1
48,2,61,1
49,2,374,1
50,2,125,1
51,2,202,1
52,2,48,1
53,2,425,1
54,2,277,0
55,2,482,1
56,2,336,0
57,2,539,1
58,2,488,0
59,2,180,1
61,2,210,1
62,2,361,0
63,2,301,0
65,2,169,0
67,2,445,1
68,2,108,0
70,2,123,0
71,2,46,0
72,2,403,1
73,2,20,0
75,2,26,0
76,2,89,1
77,2,20,1
78,2,30,1
79,2,73,1
80,2,55,1
81,2,57,0
82,2,2,0
83,2,175,0
84,2,46,0
86,2,12,0
87,2,62,1
88,2,10,0
89,2,72,0
90,2,130,0
91,2,51,1
92,2,30,0
93,2,95,0
94,2,23,0
95,2,67,1
97,2,125,1
105,2,40,1
2,3,158,0
3,3,341,0
4,3,311,0
5,3,243,0
6,3,619,1
7,3,87,0
9,3,127,0
11,3,205,1
14,3,246,0
16,3,519,1
17,3,174,0
19,3,438,1
20,3,267,0
21,3,416,1
22,3,86,0
23,3,467,0
26,3,368,1
27,3,29,0
28,3,358,0
29,3,297,1
30,3,430,0
31,3,572,1
32,3,663,1
33,3,223,0
34,3,283,1
35,3,283,0
36,3,625,0
37,3,228,0
40,3,601,1
41,3,465,1
42,3,540,1
43,3,525,1
44,3,362,1
45,3,421,1
46,3,366,1
47,3,56,1
48,3,305,1
49,3,479,1
50,3,344,1
51,3,272,1
52,3,198,1
53,3,542,1
54,3,520,0
55,3,622,1
56,3,417,0
57,3,563,1
58,3,583,0
59,3,225,1
61,3,252,1
62,3,473,0
63,3,467,0
65,3,189,0
67,3,609,1
68,3,170,0
70,3,488,0
71,3,153,0
72,3,551,1
73,3,45,0
75,3,60,0
76,3,162,1
77,3,73,1
78,3,55,1
79,3,207,1
80,3,69,1
81,3,84,0
82,3,16,0
83,3,263,0
84,3,66,0
85,3,337,0
86,3,24,0
87,3,84,1
88,3,55,0
89,3,215,0
90,3,237,0
91,3,45,1
92,3,50,0
93,3,70,0
94,3,42,0
95,3,255,1
97,3,280,1
100,3,78,1
105,3,298,1
2,5,600,0
3,5,586,0
4,5,644,0
5,5,471,0
6,5,602,1
7,5,399,0
9,5,322,0
11,5,439,1
14,5,303,0
16,5,592,1
17,5,472,0
19,5,595,1
20,5,578,0
21,5,657,1
22,5,578,0
23,5,646,0
26,5,590,1
27,5,534,0
28,5,629,0
29,5,649,1
30,5,656,0
31,5,661,1
32,5,680,1
33,5,549,0
34,5,518,1
35,5,482,0
36,5,680,0
40,5,661,1
41,5,517,1
42,5,669,1
43,5,641,1
44,5,555,1
45,5,570,1
46,5,654,1
47,5,198,1
48,5,652,1
49,5,646,1
50,5,564,1
51,5,529,1
52,5,658,1
53,5,669,1
54,5,671,0
55,5,664,1
56,5,600,0
57,5,646,1
58,5,648,0
59,5,503,1
61,5,483,1
62,5,674,0
63,5,597,0
65,5,321,0
67,5,666,1
68,5,322,0
70,5,629,0
71,5,436,0
72,5,606,1
73,5,165,0
75,5,358,0
76,5,422,1
77,5,443,1
78,5,253,1
79,5,416,1
80,5,208,1
81,5,294,0
82,5,264,0
83,5,339,0
84,5,633,0
85,5,576,0
86,5,148,0
87,5,343,1
88,5,488,0
89,5,556,0
90,5,432,0
91,5,218,1
92,5,237,0
94,5,91,0
95,5,376,1
97,5,637,1
100,5,223,1
105,5,560,1
