recall,prop54,party,age,optmism,agecat,recallq
1,1,1,49,7,45,1
1,1,1,44,8,45,1
1,1,1,46,7,45,1
1,1,1,50,7,45,1
1,1,1,25,6,24,1
1,1,1,28,7,24,1
1,1,1,21,5,24,1
1,1,1,20,5,24,1
1,1,1,22,6,24,1
1,1,1,73,8,70,1
1,1,1,67,8,70,1
1,1,1,69,7,70,1
1,1,1,72,10,70,1
2,1,1,69,8,70,-1
2,1,1,73,10,70,-1
2,1,1,39,8,35,-1
2,1,1,31,7,35,-1
2,1,1,38,8,35,-1
2,1,1,38,7,35,-1
2,1,1,55,9,57,-1
2,1,1,58,8,57,-1
2,1,1,59,8,57,-1
2,1,1,55,8,57,-1
2,1,1,56,8,57,-1
2,1,1,58,10,57,-1
2,1,1,57,9,57,-1
2,1,1,37,7,35,-1
2,1,1,33,10,35,-1
2,1,1,34,7,35,-1
3,1,1,39,11,35,0
1,2,1,54,5,57,1
1,2,1,54,3,57,1
1,2,1,57,4,57,1
1,2,1,54,5,57,1
1,2,1,60,6,57,1
1,2,1,53,5,57,1
1,2,1,55,6,57,1
1,2,1,59,4,57,1
1,2,1,60,6,57,1
1,2,1,25,4,24,1
1,2,1,24,4,24,1
1,2,1,25,5,24,1
1,2,1,27,5,24,1
1,2,1,27,6,24,1
1,2,1,66,5,70,1
1,2,1,65,6,70,1
1,2,1,69,6,70,1
1,2,1,69,7,70,1
1,2,1,72,5,70,1
2,2,1,67,7,70,-1
2,2,1,46,6,45,-1
2,2,1,49,6,45,-1
2,2,1,45,4,45,-1
2,2,1,42,7,45,-1
2,2,1,50,6,45,-1
2,2,1,45,4,45,-1
2,2,1,21,3,24,-1
2,2,1,28,6,24,-1
2,2,1,25,4,24,-1
2,2,1,24,4,24,-1
2,2,1,20,3,24,-1
2,2,1,29,6,24,-1
2,2,1,65,5,70,-1
2,2,1,69,6,70,-1
2,2,1,74,5,70,-1
2,2,1,73,6,70,-1
2,2,1,69,6,70,-1
2,2,1,74,7,70,-1
2,2,1,39,3,35,-1
2,2,1,39,5,35,-1
2,2,1,37,5,35,-1
2,2,1,37,3,35,-1
3,2,1,40,6,35,0
1,3,1,37,6,35,1
1,3,1,43,7,45,1
1,3,1,47,6,45,1
1,3,1,43,6,45,1
1,3,1,50,6,45,1
1,3,1,56,9,57,1
1,3,1,55,4,57,1
1,3,1,54,8,57,1
2,3,1,52,6,57,-1
2,3,1,53,6,57,-1
2,3,1,59,6,57,-1
2,3,1,56,7,57,-1
3,3,1,53,7,57,0
1,1,2,46,5,45,1
1,1,2,48,5,45,1
1,1,2,49,7,45,1
1,1,2,50,5,45,1
1,1,2,46,6,45,1
1,1,2,49,7,45,1
1,1,2,45,6,45,1
1,1,2,48,6,45,1
1,1,2,29,5,24,1
1,1,2,67,7,70,1
1,1,2,72,6,70,1
1,1,2,36,5,35,1
1,1,2,33,6,35,1
1,1,2,40,5,35,1
1,1,2,32,5,35,1
1,1,2,37,6,35,1
1,1,2,36,6,35,1
1,1,2,37,4,35,1
1,1,2,52,6,57,1
1,1,2,55,6,57,1
1,1,2,52,6,57,1
1,1,2,53,6,57,1
1,1,2,56,6,57,1
1,1,2,54,5,57,1
1,1,2,56,5,57,1
1,1,2,34,4,35,1
1,1,2,30,5,35,1
1,1,2,34,5,35,1
1,1,2,38,6,35,1
1,1,2,35,6,35,1
2,1,2,30,5,35,-1
2,1,2,37,7,35,-1
2,1,2,55,5,57,-1
2,1,2,56,7,57,-1
2,1,2,61,5,57,-1
3,1,2,56,6,57,0
3,1,2,62,6,57,0
1,2,2,54,3,57,1
1,2,2,54,3,57,1
1,2,2,56,3,57,1
1,2,2,29,3,24,1
1,2,2,74,7,70,1
1,2,2,70,2,70,1
1,2,2,42,2,45,1
1,2,2,40,2,45,1
1,2,2,45,3,45,1
1,2,2,43,3,45,1
1,2,2,46,3,45,1
1,2,2,40,3,45,1
1,2,2,44,2,45,1
1,2,2,42,1,45,1
1,2,2,26,3,24,1
2,2,2,22,3,24,-1
2,2,2,75,4,70,-1
2,2,2,73,5,70,-1
2,2,2,30,0,35,-1
2,2,2,38,4,35,-1
2,2,2,35,3,35,-1
2,2,2,33,1,35,-1
3,2,2,32,3,35,0
1,3,2,32,4,35,1
1,3,2,33,5,35,1
1,3,2,31,3,35,1
1,3,2,46,3,45,1
2,3,2,43,5,45,-1
2,3,2,47,5,45,-1
2,3,2,46,3,45,-1
2,3,2,45,4,45,-1
2,3,2,46,5,45,-1
2,3,2,47,5,45,-1
2,3,2,41,3,45,-1
2,3,2,55,4,57,-1
2,3,2,54,4,57,-1
2,3,2,55,6,57,-1
2,3,2,62,3,57,-1
2,3,2,55,6,57,-1
2,3,2,59,4,57,-1
3,3,2,58,4,57,0
1,1,3,48,6,45,1
1,1,3,42,6,45,1
1,1,3,25,5,24,1
1,1,3,26,6,24,1
1,1,3,72,9,70,1
1,1,3,66,8,70,1
1,1,3,71,11,70,1
2,1,3,72,9,70,-1
2,1,3,39,7,35,-1
2,1,3,36,8,35,-1
2,1,3,56,9,57,-1
2,1,3,58,10,57,-1
2,1,3,59,9,57,-1
2,1,3,39,8,35,-1
1,2,3,40,5,35,1
1,2,3,58,5,57,1
1,2,3,57,5,57,1
1,2,3,57,7,57,1
1,2,3,21,2,24,1
1,2,3,67,7,70,1
1,2,3,70,6,70,1
1,2,3,75,5,70,1
2,2,3,67,7,70,-1
2,2,3,48,5,45,-1
2,2,3,41,5,45,-1
2,2,3,28,4,24,-1
2,2,3,69,4,70,-1
2,2,3,74,6,70,-1
2,2,3,74,6,70,-1
1,3,3,70,6,70,1
1,3,3,30,7,35,1
1,3,3,40,6,35,1
2,3,3,47,7,45,-1
2,3,3,48,6,45,-1
3,3,3,58,6,57,0
3,3,3,57,6,57,0
